CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
509240632,1/1/2016,12:00:00,8/8/2017,12:00:00,9/13/2017,109,GRAND LARCENY,407,"LARCENY,GRAND BY DISHONEST EMP",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,19,INSIDE,RESIDENCE - APT. HOUSE,,,995590,221015,40.77331241,-73.95905925,"(40.773312409, -73.959059252)"
418016737,1/1/2016,1:10:00,,,6/19/2017,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,13,INSIDE,RESIDENCE - APT. HOUSE,,,985118,208831,40.73987766,-73.99686917,"(40.73987766, -73.996869174)"
404890055,1/1/2016,0:01:00,12/31/2016,23:59:00,5/18/2017,233,SEX CRIMES,175,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,N.Y. HOUSING POLICE,MANHATTAN,7,INSIDE,RESIDENCE - PUBLIC HOUSING,,LA GUARDIA,,,,,
156095250,1/1/2016,12:00:00,12/31/2016,12:00:00,5/16/2017,233,SEX CRIMES,170,"SEXUAL MISCONDUCT,INTERCOURSE",COMPLETED,MISDEMEANOR,N.Y. HOUSING POLICE,MANHATTAN,25,INSIDE,RESIDENCE - PUBLIC HOUSING,,LINCOLN,,,,,
190783666,1/1/2016,12:00:00,3/10/2017,10:00:00,3/10/2017,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,MANHATTAN,17,INSIDE,RESIDENCE - APT. HOUSE,,,990292,212471,40.74986653,-73.97819495,"(40.749866529, -73.97819495)"
621425183,1/1/2016,10:00:00,2/26/2017,17:00:00,2/26/2017,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,28,INSIDE,PUBLIC BUILDING,,,997439,233857,40.80855768,-73.95235837,"(40.808557679, -73.952358366)"
479509422,1/1/2016,0:01:00,12/31/2016,23:59:00,2/13/2017,233,SEX CRIMES,175,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,N.Y. HOUSING POLICE,MANHATTAN,10,INSIDE,RESIDENCE - PUBLIC HOUSING,,,,,,,
631892474,1/1/2016,0:00:00,2/7/2017,0:00:00,2/7/2017,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,19,INSIDE,RESIDENCE - APT. HOUSE,,,996783,221912,40.77577283,-73.95475035,"(40.775772829, -73.954750345)"
885539002,1/1/2016,10:00:00,1/29/2017,12:02:00,1/31/2017,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,MANHATTAN,25,,STREET,,,1000275,229995,40.79795286,-73.942123,"(40.797952861, -73.942123003)"
841999126,1/1/2016,0:01:00,1/1/2016,23:59:00,1/12/2017,116,SEX CRIMES,177,SEXUAL ABUSE,COMPLETED,FELONY,N.Y. HOUSING POLICE,MANHATTAN,7,INSIDE,RESIDENCE - PUBLIC HOUSING,,VLADECK,,,,,
